Gene_Symbol,NOD 1,NOD 2,NOD 3,NOD 4,NOD 5,NOD 6
Trim44,0.9783371,0.99967957,1.0003204,0.9913413,0.99625814,1.0060459
Timm44,1.0057566,0.950008,0.95144784,1.0147548,0.94195944,0.9942435
Palld,0.9637333,1.0377811,0.98614115,0.9665298,0.97525126,1.0138588
2310050B20Rik,1.0205314,0.96358234,1.0032825,0.99314433,0.9967175,0.9951541
Wars,0.989773,0.98958063,1.0339565,1.0102271,0.95975995,0.9671379
Fmo5,0.99835616,0.9894392,0.9414228,1.0124651,0.9406268,1.0016439
Csrp3,0.99843097,0.96307313,0.98989004,1.0061203,1.0004851,0.999515
Rftn2,0.9362691,1.0046903,0.97807324,0.99530977,0.98308396,1.0301093
Sgk3,1.0025396,0.9974605,1.044025,0.99649346,0.9890745,0.98523456
Mrgpre,1.0122442,0.98883504,0.93254834,0.96285665,0.9605654,1.011165
1200015F23Rik,0.95156544,0.9798513,0.9855576,1.0144424,0.9811579,1.0154841
BC011248,1.0039409,0.99605906,0.9345512,0.99256295,1.0129429,0.9704413
Man2a2,1.0054449,0.99414366,0.99171907,0.9740163,0.994555,1.0280755
Siat7d,0.9961777,0.9999846,0.99715114,1.0528247,1.0000154,0.9752715
Upb1,1.0041131,1.0016824,0.98175853,0.99831766,0.95906836,0.98737776
2010003J03Rik,0.96247673,0.93910784,0.9634534,0.99320835,1.0067916,1.0186356
Khk,0.9916084,0.99131197,1.0271168,0.9989441,1.001056,0.97270256
4633402N23Rik,0.97186583,1.0138037,0.9733207,0.98619634,0.9686101,1.043311
4930550C14Rik,1.006099,0.98388094,1.0034648,0.9965352,0.9834868,0.97173923
Gstp1,0.9554127,0.991514,1.008486,0.97624767,1.0159127,0.9774522
Kif3a,0.9424543,1.0391359,0.98083544,0.9611023,1.0191644,0.9758352
Whrn,1.0093896,0.96501756,0.98552066,1.0682675,0.9631122,0.9906103
Zfp82,1.0027522,0.99724776,0.94141763,0.9913232,1.0042121,0.9835075
Rassf4,1.0020328,0.9979673,1.0086622,0.95904416,0.989309,0.9773166
2510038A11Rik,1.0102944,0.9558636,1.0390129,0.9897055,0.9654397,0.95158
Eps8l1,1.0471324,1.0010676,0.9989323,0.9608749,0.9527323,0.96907145
Serpinb2,0.9877386,1.0122613,0.98488665,0.95077586,0.9734597,1.0123762
Sdcbp2,1.0167449,0.95744145,1.0089413,0.94250506,0.990925,0.9910587
Senp7,0.98878634,0.9989661,1.0213022,0.96360093,0.9944552,1.0010339
Ociad2,0.99357533,1.0064247,1.0171683,0.93171096,0.97914934,0.98222023
2210412K09Rik,0.93912745,0.91822934,0.97474796,1.0007511,0.99924886,1.0115558
